"","Event","Date_Time","TemperatureC","Field","Pop","Cage","Height","Treatment"
"157",157,"10/07/2021 22:40:22",13.85,"UP","SC","S_SCN_P1_20",20,"Predator"
"158",158,"10/07/2021 23:40:22",13.55,"UP","SC","S_SCN_P1_20",20,"Predator"
"159",159,"10/08/2021 00:40:22",14.07,"UP","SC","S_SCN_P1_20",20,"Predator"
"160",160,"10/08/2021 01:40:22",13.21,"UP","SC","S_SCN_P1_20",20,"Predator"
"161",161,"10/08/2021 02:40:22",12.7,"UP","SC","S_SCN_P1_20",20,"Predator"
"162",162,"10/08/2021 03:40:22",12.82,"UP","SC","S_SCN_P1_20",20,"Predator"
"163",163,"10/08/2021 04:40:22",11.79,"UP","SC","S_SCN_P1_20",20,"Predator"
"164",164,"10/08/2021 05:40:22",9.56,"UP","SC","S_SCN_P1_20",20,"Predator"
"165",165,"10/08/2021 06:40:22",9.18,"UP","SC","S_SCN_P1_20",20,"Predator"
"166",166,"10/08/2021 07:40:22",9.39,"UP","SC","S_SCN_P1_20",20,"Predator"
"167",167,"10/08/2021 08:40:22",11.19,"UP","SC","S_SCN_P1_20",20,"Predator"
"168",168,"10/08/2021 09:40:22",13.55,"UP","SC","S_SCN_P1_20",20,"Predator"
"169",169,"10/08/2021 10:40:22",16.73,"UP","SC","S_SCN_P1_20",20,"Predator"
"170",170,"10/08/2021 11:40:22",21.62,"UP","SC","S_SCN_P1_20",20,"Predator"
"171",171,"10/08/2021 12:40:22",23.72,"UP","SC","S_SCN_P1_20",20,"Predator"
"172",172,"10/08/2021 13:40:22",24.88,"UP","SC","S_SCN_P1_20",20,"Predator"
"173",173,"10/08/2021 14:40:22",28.35,"UP","SC","S_SCN_P1_20",20,"Predator"
"174",174,"10/08/2021 15:40:22",28.1,"UP","SC","S_SCN_P1_20",20,"Predator"
"175",175,"10/08/2021 16:40:22",27.2,"UP","SC","S_SCN_P1_20",20,"Predator"
"176",176,"10/08/2021 17:40:22",21.49,"UP","SC","S_SCN_P1_20",20,"Predator"
"177",177,"10/08/2021 18:40:22",14.28,"UP","SC","S_SCN_P1_20",20,"Predator"
"178",178,"10/08/2021 19:40:22",12.82,"UP","SC","S_SCN_P1_20",20,"Predator"
"179",179,"10/08/2021 20:40:22",11.84,"UP","SC","S_SCN_P1_20",20,"Predator"
"180",180,"10/08/2021 21:40:22",10.85,"UP","SC","S_SCN_P1_20",20,"Predator"
"181",181,"10/08/2021 22:40:22",10.16,"UP","SC","S_SCN_P1_20",20,"Predator"
